ID,Stadt,Spieltag,Datum,Heimmannschaft,Gastmannschaft
8,Dortmund,16,19.12.2023,Borussia Dortmund,1. FSV Mainz 05
13,Sinsheim,16,19.12.2023,TSG Hoffenheim,SV Darmstadt 98
1,Berlin,16,20.12.2023,1. FC Union Berlin,1. FC Köln
3,Wolfsburg,16,20.12.2023,VfL Wolfsburg,FC Bayern München 
7,Leverkusen,16,20.12.2023,Bayer 04 Leverkusen,VfL Bochum
10,Frankfurt,16,20.12.2023,Eintracht Frankfurt,Borussia Mönchengladbach
14,Stuttgart,16,20.12.2023,VfB Stuttgart,FC Augsburg
16,Heidenheim,16,20.12.2023,1. FC Heidenheim,SC Freiburg 
18,München,17,12.01.2024,FC Bayern München ,TSG Hoffenheim
4,Leipzig,17,13.01.2024,RB Leipzig,Eintracht Frankfurt
9,Köln,17,13.01.2024,1. FC Köln,1. FC Heidenheim 1846
11,Mainz,17,13.01.2024,1. FSV Mainz 05,VfL Wolfsburg
15,Freiburg,17,13.01.2024,SC Freiburg,1. FC Union Berlin
17,Augsburg,17,13.01.2024,FC Augsburg,Bayer 04 Leverkusen
12,Darmstadt,17,13.01.2024,SV Darmstadt 98,Borussia Dortmund
5,Bochum,17,14.01.2024,VfL Bochum,SV Werder Bremen
6,Mönchengladbach,17,14.01.2024,Borussia Mönchengladbach,VfB Stuttgart
11,Mainz,18,19.01.2024,1. FSV Mainz 05,1. FC Union Berlin
5,Bochum,18,20.01.2024,VfL Bochum,VfB Stuttgart
9,Köln,18,20.01.2024,1. FC Köln,Borussia Dortmund
12,Darmstadt,18,20.01.2024,SV Darmstadt 98,Eintracht Frankfurt
15,Freiburg,18,20.01.2024,SC Freiburg,TSG Hoffenheim
16,Heidenheim,18,20.01.2024,1. FC Heidenheim,VfL Wolfsburg
4,Leipzig,18,20.01.2024,RB Leipzig,Bayer 04 Leverkusen
18,München,18,21.01.2024,FC Bayern München ,SV Werder Bremen
6,Mönchengladbach,18,21.01.2024,Borussia Mönchengladbach,FC Augsburg
18,München,13,24.01.2024,FC Bayern München ,1. FC Union Berlin
1,Berlin,34,18.05.2024,1. FC Union Berlin,SC Freiburg 
2,Bremen,34,18.05.2024,SV Werder Bremen,VfL Bochum
3,Wolfsburg,34,18.05.2024,VfL Wolfsburg,1. FSV Mainz 05
7,Leverkusen,34,18.05.2024,Bayer 04 Leverkusen,FC Augsburg
8,Dortmund,34,18.05.2024,Borussia Dortmund,SV Darmstadt 98
10,Frankfurt,34,18.05.2024,Eintracht Frankfurt,RB Leipzig 
13,Sinsheim,34,18.05.2024,TSG Hoffenheim,FC Bayern München 
14,Stuttgart,34,18.05.2024,VfB Stuttgart,Borussia Mönchengladbach
16,Heidenheim,34,18.05.2024,1. FC Heidenheim,1. FC Köln
